DentistName,LicenseNumber,Specialization,Cabinet,PatientName,InsuranceNumber,PatientPhone,AppointmentDate,Status
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_0,INS-96322,+380507777787,2026-05-12 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_1,INS-23817,+380502623898,2026-05-22 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_2,INS-53120,+380505830431,2026-04-30 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_3,INS-89126,+380507272066,2026-05-04 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_4,INS-13138,+380504026525,2026-04-06 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_5,INS-94348,+380503250582,2026-05-22 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_6,INS-87930,+380508237076,2026-04-18 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_7,INS-70014,+380509634537,2026-04-20 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_8,INS-81956,+380503612613,2026-03-28 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_9,INS-37599,+380508557093,2026-04-09 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_10,INS-50401,+380509892654,2026-05-14 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_11,INS-41037,+380503843802,2026-05-05 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_12,INS-75632,+380505060415,2026-05-20 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_13,INS-37476,+380504553441,2026-05-25 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_14,INS-47180,+380507568015,2026-05-23 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_15,INS-84090,+380503823928,2026-05-02 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_16,INS-41247,+380503103904,2026-05-25 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_17,INS-87964,+380507463691,2026-05-24 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_18,INS-31213,+380506995727,2026-04-12 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_19,INS-84549,+380506320249,2026-03-30 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_20,INS-37529,+380507311471,2026-04-11 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_21,INS-96780,+380505292395,2026-04-14 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_22,INS-22387,+380508133645,2026-03-30 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_23,INS-57413,+380501211139,2026-05-15 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_24,INS-59808,+380507535851,2026-04-21 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_25,INS-42512,+380505207512,2026-05-21 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_26,INS-67842,+380507330607,2026-04-27 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_27,INS-12121,+380509441043,2026-04-03 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_28,INS-30719,+380501833813,2026-05-02 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_29,INS-21802,+380507900892,2026-04-01 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_30,INS-87409,+380507659757,2026-05-07 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_31,INS-52301,+380508414369,2026-05-08 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_32,INS-92877,+380504127015,2026-04-05 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_33,INS-77416,+380507281088,2026-05-21 14:12,Cancelled
